subject,relation,object,subject_type,object_type
Turisanus,covered,surgical techniques,NOUN_CHUNK,NOUN_CHUNK
Catholic women,played,large roles,NORP,NOUN_CHUNK
local officials,recognized,public value,NOUN_CHUNK,NOUN_CHUNK
bequest,funded,expansion,NOUN_CHUNK,NOUN_CHUNK
Spanish pharmaceutical books,contain,medicinal recipes,NORP,NOUN_CHUNK
the British Empire,transplanted,herbs,GPE,NOUN_CHUNK
Hospital doctors,began,systematic analysis,NOUN_CHUNK,NOUN_CHUNK
Agostino Bassi,traced,silkworm disease muscardine,PERSON,NOUN_CHUNK
species pathogenicity,used to,tuberculosis treatment,NOUN_CHUNK,NOUN_CHUNK
professionalization,forced,Women,NOUN_CHUNK,NOUN_CHUNK
The Russian Orthodox Church,sponsored,seven orders,ORG,CARDINAL
major reformer,created,the Paris Hospital,NOUN_CHUNK,ORG
French scientist Louis Pasteur experiments,supported,germ theory,NORP,NOUN_CHUNK
Pasteur,brought,scientists,PERSON,NOUN_CHUNK
Lehre von den Augenkrankheiten,combined,practical research,PERSON,NOUN_CHUNK
U.S. Civil War,had,dramatic long term impact,GPE,NOUN_CHUNK
surgeons,were,coffee,NOUN_CHUNK,NOUN_CHUNK
Harsh weather,took,dirty camp hospitals toll,NOUN_CHUNK,NOUN_CHUNK
Numerous new agencies,targeted,medical morale needs,NOUN_CHUNK,NOUN_CHUNK
Johns Hopkins Hospital,originated,modern medical practices,ORG,NOUN_CHUNK
Japanese elites,embraced,Western medicine,NORP,NOUN_CHUNK
Japanese elites,prepared by,contact,NORP,NOUN_CHUNK
Japanese physicians,recognized,values,NORP,NOUN_CHUNK
General Pancho Villa,organized,hospital trains,NOUN_CHUNK,NOUN_CHUNK
Boxcars,marked,Servicio Sanitario,NOUN_CHUNK,PERSON
Thousands of scarred troops,provided,need,CARDINAL,NOUN_CHUNK
U.S. Civil War,spurred,usage,GPE,NOUN_CHUNK
casualties,receiving,treatment,NOUN_CHUNK,NOUN_CHUNK
The U.S. Army,established,programs,ORG,NOUN_CHUNK
Japanese doctors,conducted,large numbers,NORP,NOUN_CHUNK
United Nations agency,founded in,global health,NOUN_CHUNK,NOUN_CHUNK
long known vaccine,eradicated,disease,NOUN_CHUNK,NOUN_CHUNK
sexual revolution,included,taboo breaking research,NOUN_CHUNK,NOUN_CHUNK
Family planning,promoted,demographic transition,NOUN_CHUNK,NOUN_CHUNK
struggle,improved,antiretroviral treatments,NOUN_CHUNK,NOUN_CHUNK
Joseph Murray,accomplished,kidney transplantation,PERSON,NOUN_CHUNK
Ellen S.,To,Balance,PERSON,NOUN_CHUNK
ICD-10,contains,codes,NOUN_CHUNK,NOUN_CHUNK
ICD-10-CM,has,"over 70,000 codes",PERSON,CARDINAL
online training,includes,support forum,NOUN_CHUNK,NOUN_CHUNK
France,introduced,clinical addendum,GPE,NOUN_CHUNK
Hungary,introduced,use,GPE,NOUN_CHUNK
5th Edition,replaced,the 4th Edition,NOUN_CHUNK,PRODUCT
federal agency,postponed by,numerous factors,NOUN_CHUNK,NOUN_CHUNK
expansion,prompted,need,NOUN_CHUNK,NOUN_CHUNK
the American Osteopathic Association Bureau of Osteopathic Specialists,approved,Certificate,ORG,NOUN_CHUNK
ICPC-2 PLUS,takes into,frequency distribution,NOUN_CHUNK,NOUN_CHUNK
user,selects,appropriate term,NOUN_CHUNK,NOUN_CHUNK
reasons,might,be:.Drug overdose,NOUN_CHUNK,NOUN_CHUNK
400 BC Hippocrates,mentioned,liver abscess,CARDINAL,NOUN_CHUNK
Roman anatomist Galen,identified,liver relationship,NORP,NOUN_CHUNK
Justus Von Leibig,discovered,pancreatic juice,PERSON,NOUN_CHUNK
Austin Flint,described,production,PERSON,NOUN_CHUNK
Victor Charles Hanot,described,cirrhotic jaundice,PERSON,NOUN_CHUNK
Moore,developed,standard technique,PERSON,NOUN_CHUNK
investigators,identified,hepatitis C virus,NOUN_CHUNK,NOUN_CHUNK
PancreaseAlso,see,Hepato-biliary diseases,NOUN_CHUNK,ORG
identifier,identifies,periodical publications,NOUN_CHUNK,NOUN_CHUNK
The International Standard Music Number,covers,musical scores,ORG,NOUN_CHUNK
the International Organization for Standardization (ISO,appointed,the International ISBN Agency,ORG,ORG
ebook,have,different ISBN,NOUN_CHUNK,NOUN_CHUNK
Câmara Brasileira,do,Livro,PERSON,PERSON
Books,have,longer group elements,NOUN_CHUNK,NOUN_CHUNK
national ISBN agency,assigns,registrant element,NOUN_CHUNK,NOUN_CHUNK
publisher,receive,block,NOUN_CHUNK,NOUN_CHUNK
publisher,have,different allotted registrant elements,NOUN_CHUNK,NOUN_CHUNK
remainder,equal,0 or 11,NOUN_CHUNK,CARDINAL
A zero,replaces,10,CARDINAL,CARDINAL
Publishers,have,varied policies,NOUN_CHUNK,NOUN_CHUNK
libraries,display,book record,NOUN_CHUNK,NOUN_CHUNK
upgrading,eased,migration,NOUN_CHUNK,NOUN_CHUNK
Uniform Resource Names,RFC 3187—Using International Standard Book Numbers as,search,NOUN_CHUNK,NOUN_CHUNK
use,facilitates,search,NOUN_CHUNK,NOUN_CHUNK
The International Centre,the ISDS Register (International Serials Data System,database,ORG,NOUN_CHUNK
the ISSN Register,contained,records,ORG,NOUN_CHUNK
print version,include,ISSN code,NOUN_CHUNK,NOUN_CHUNK
serial websites,contain,ISSN code information,NOUN_CHUNK,ORG
Derivative lists,found through,ISSN codes,NOUN_CHUNK,ORG
WorldCat library,Register This,item,NOUN_CHUNK,NOUN_CHUNK
new ISSN,assigned to,major title change,NOUN_CHUNK,NOUN_CHUNK
Nature,used as,ISSN,NOUN_CHUNK,NOUN_CHUNK
metadata contexts,have,standard labels,NOUN_CHUNK,NOUN_CHUNK
U.S. publishers,obtain,ISSN,GPE,NOUN_CHUNK
scope,includes,acute patient care,NOUN_CHUNK,NOUN_CHUNK
hospitalists,lack,board certification,NOUN_CHUNK,NOUN_CHUNK
universities,started,fellowship programs,NOUN_CHUNK,NOUN_CHUNK
primary care physicians,experiencing,shrinking role,NOUN_CHUNK,NOUN_CHUNK
IMA SW,includes,25 state chapters,NOUN_CHUNK,CARDINAL
involvement,improve,patient outcomes,NOUN_CHUNK,NOUN_CHUNK
specialists,provide,long term care,NOUN_CHUNK,NOUN_CHUNK
physicians,developed,nosology,NOUN_CHUNK,NOUN_CHUNK
General internal medicine specialists,trained for,necessarily expertise,NOUN_CHUNK,NOUN_CHUNK
programs,require,previous undergraduate education,NOUN_CHUNK,NOUN_CHUNK
residency training,lasts,three years,NOUN_CHUNK,DATE
American College of Osteopathic Internists Osteopathic Internists,recognizes,following subspecialties:.Allergy Immunology,ORG,NOUN_CHUNK
Tropical medicineMany training programmes,provide,dual accreditation,NOUN_CHUNK,NOUN_CHUNK
subspecialties,focused on,procedural treatment:.Cardiology,NOUN_CHUNK,NOUN_CHUNK
ICPC,contains,17 chapters:.A General,NOUN_CHUNK,CARDINAL
Early political consolidations,gave,rise,NOUN_CHUNK,NOUN_CHUNK
Middle kingdoms,exported,Dravidian-languages scripts,NOUN_CHUNK,NORP
Christianity,put down,roots,ORG,NOUN_CHUNK
the Vijayanagara Empire,created,long lasting composite Hindu culture,GPE,NOUN_CHUNK
ideas,granted,root,NOUN_CHUNK,NOUN_CHUNK
Indian movies,play,increasing role,NORP,NOUN_CHUNK
India,has,disputes,GPE,NOUN_CHUNK
India's land forest cover,comprises,21.4%,GPE,PERCENT
Hinduism,asserted,patriarchal control,NORP,NOUN_CHUNK
the Islamic Delhi Sultanate's raiding,paved,way,ORG,NOUN_CHUNK
number,established,coastal outposts,NOUN_CHUNK,NOUN_CHUNK
appointment,set,stage,NOUN_CHUNK,NOUN_CHUNK
the Indian National Congress,won,victories,ORG,NOUN_CHUNK
Indian movies,play,increasing role,NORP,NOUN_CHUNK
India,has,unresolved territorial disputes,GPE,NOUN_CHUNK
Deccan Plateau,contains,country oldest rock formations,NOUN_CHUNK,NOUN_CHUNK
mainland coastline,consists of,43% sandy beaches,NOUN_CHUNK,PERCENT
Coastal features,shared with,marshy Rann,ORG,NOUN_CHUNK
India,has,two archipelagos,GPE,CARDINAL
India's subsequent collision,set off,mass exchange,GPE,NOUN_CHUNK
volcanism,caused,extinction,NOUN_CHUNK,NOUN_CHUNK
India,contains,172 IUCN-designated threatened animal species,GPE,CARDINAL
pervasive ecologically devastating human encroachment,endangered,Indian wildlife,NOUN_CHUNK,NORP
the Indian National Congress,won,easy victories,ORG,NOUN_CHUNK
the Bharatiya Janata Party,won,absolute majority,ORG,NOUN_CHUNK
year period,followed,general election,NOUN_CHUNK,NOUN_CHUNK
short lived alliances,shared,power,NOUN_CHUNK,NOUN_CHUNK
Federalism,defines,power distribution,NOUN_CHUNK,NOUN_CHUNK
parliament,comprises,upper house,NOUN_CHUNK,NOUN_CHUNK
states,elected,legislatures,NOUN_CHUNK,NOUN_CHUNK
India,has,wide ranging defence relations,GPE,NOUN_CHUNK
India,played,key roles,GPE,NOUN_CHUNK
India,provided,"100,000 military and police personnel",GPE,CARDINAL
India,signed,Comprehensive Nuclear Test Ban Treaty,GPE,NOUN_CHUNK
indigenous military projects,involve,design,NOUN_CHUNK,NOUN_CHUNK
India,increased,"India economic, strategic, and military co-operation",GPE,GPE
world second largest military,comprises,the Indian Army,NOUN_CHUNK,ORG
the Indian Space Research Organisation,launched,the South Asia Satellite,ORG,LOC
Indian governments,followed,protectionist policies,NOUN_CHUNK,NOUN_CHUNK
Widespread state intervention,walled,Indian economy,NOUN_CHUNK,NOUN_CHUNK
Major agricultural products,include,rice,NOUN_CHUNK,NOUN_CHUNK
Major industries,include,textiles,NOUN_CHUNK,NOUN_CHUNK
Major exports,include,petroleum products,NOUN_CHUNK,NOUN_CHUNK
Major imports,include,crude oil,NOUN_CHUNK,NOUN_CHUNK
Living Report,highlights,key growth factors,NOUN_CHUNK,NOUN_CHUNK
India's R & D spending,constitutes,60%,GPE,PERCENT
India,contained,largest number,GPE,NOUN_CHUNK
post - colonial census,counted,361 million people,NOUN_CHUNK,CARDINAL
India,has,national language,GPE,NOUN_CHUNK
India,has,largest Muslim population,GPE,NOUN_CHUNK
Indian cultural history,spans,"more than 4,500 years",NORP,DATE
Indian writers,took,new interest,NORP,NOUN_CHUNK
Classical music,encompasses,two genres,NOUN_CHUNK,CARDINAL
Indian dance,features,diverse folk,NORP,NOUN_CHUNK
Theatre,melds,music,NOUN_CHUNK,NOUN_CHUNK
Indian theatre,includes,bhavai,NORP,NOUN_CHUNK
India,has,theatre training institute,GPE,NOUN_CHUNK
Indian film industry,produces,world watched cinema,NOUN_CHUNK,NOUN_CHUNK
satellite channels,shaped,popular culture,NOUN_CHUNK,NOUN_CHUNK
known,include,Diwali,NOUN_CHUNK,NOUN_CHUNK
caste,reduced,private spending,NOUN_CHUNK,NOUN_CHUNK
India,had,900 universities,GPE,NOUN_CHUNK
kameez,have,European style collar,NOUN_CHUNK,NOUN_CHUNK
fashions,changed,great deal,NOUN_CHUNK,NOUN_CHUNK
Columbian exchange,brought,potato,NOUN_CHUNK,NOUN_CHUNK
mental representation,takes,form,NOUN_CHUNK,NOUN_CHUNK
Chess,regaining,widespread popularity,NOUN_CHUNK,NOUN_CHUNK
Major international sporting events,include,the Chennai Open,NOUN_CHUNK,EVENT
Immunology,has,applications,ORG,NOUN_CHUNK
Classical immunology,studies,relationship,NOUN_CHUNK,NOUN_CHUNK
immune system,has,capability,NOUN_CHUNK,NOUN_CHUNK
Maternal factors,play,role,NOUN_CHUNK,NOUN_CHUNK
Antigen presenting cells,produce,negative response,NOUN_CHUNK,NOUN_CHUNK
child,produce,dampened response,NOUN_CHUNK,NOUN_CHUNK
Passively acquired maternal antibodies,suppress,antibody response,NOUN_CHUNK,NOUN_CHUNK
cell surface receptors,is,sex hormones,NOUN_CHUNK,NOUN_CHUNK
androgens,increase,immune response,NOUN_CHUNK,NOUN_CHUNK
Physical changes,affect,immunological response,NOUN_CHUNK,NOUN_CHUNK
Ecoimmunology,explores,relationship,NOUN_CHUNK,NOUN_CHUNK
Monarch butterfly,lays,Monarch butterfly eggs,NOUN_CHUNK,NOUN_CHUNK
toxins,reduce,parasite growth,NOUN_CHUNK,NOUN_CHUNK
uninfected Monarch butterflies,suffer,fitness cost,NOUN_CHUNK,NOUN_CHUNK
The end of the 19th century,saw,battle,DATE,NOUN_CHUNK
Macfarlane Burnet,formulated,clonal selection theory,PERSON,NOUN_CHUNK
The King's Fund,organises,conferences,ORG,NOUN_CHUNK
The King's Fund,funded,yearly award system,ORG,NOUN_CHUNK
The King's Fund,changed,The King's Fund name,ORG,FAC
Parliament,incorporated,The King's Fund,ORG,ORG
List,think,tanks,NOUN_CHUNK,NOUN_CHUNK
organizations,put,pressure,NOUN_CHUNK,NOUN_CHUNK
J1,requires,2-year home residence,NOUN_CHUNK,NOUN_CHUNK
patients,showed that,lower mortality,NOUN_CHUNK,NOUN_CHUNK
teams,include,doctors,NOUN_CHUNK,NOUN_CHUNK
Indications,include,blood pressure support,NOUN_CHUNK,NOUN_CHUNK
ICU needs,include,airway,NOUN_CHUNK,NOUN_CHUNK
cumulative effects,requires,advanced care,NOUN_CHUNK,NOUN_CHUNK
intensivist,takes on,primary role,NOUN_CHUNK,NOUN_CHUNK
closed units,is,better patient outcomes,NOUN_CHUNK,NOUN_CHUNK
hospitals,designated,intensive care areas,NOUN_CHUNK,NOUN_CHUNK
E-ICU)Medical studies,(NCCU).overnight intensive-recovery (OIR).shock/trauma intensive-care unit,relation,ORG,NOUN_CHUNK
Hospitals,had,outcomes,NOUN_CHUNK,NOUN_CHUNK
American neurosurgeon Walter Dandy,created,bed unit,NOUN_CHUNK,NOUN_CHUNK
Ibsen,authored,known account,ORG,NOUN_CHUNK
Electroencephalography,assess,electrical activity,NOUN_CHUNK,NOUN_CHUNK
Electrocardiogram,detect,abnormal heart rhythms,NOUN_CHUNK,NOUN_CHUNK
Intensive care,takes,approach,NOUN_CHUNK,NOUN_CHUNK
Ventricular,assist,device,NOUN_CHUNK,NOUN_CHUNK
Intensivists,pursue,combined fellowship training,ORG,NOUN_CHUNK
Nurses,pursue,additional education,NOUN_CHUNK,NOUN_CHUNK
Inclusion,decreases,drug reactions,NOUN_CHUNK,NOUN_CHUNK
Nutrition,presents,unique challenges,NOUN_CHUNK,NOUN_CHUNK
Respiratory therapists,pursue,additional education,NOUN_CHUNK,NOUN_CHUNK
LGA's published business plan,sets out,Association main lobbying priorities,ORG,NOUN_CHUNK
LGA,has,number,ORG,NOUN_CHUNK
Local Councils Association of the PunjabCymdeithas Llywodraeth Leol,Cymru).The,Local Government Chronicle,ORG,ORG
Non-MSTP funded dual degree programs,have,flexibility,ORG,NOUN_CHUNK
combined research graduate level medical education,extends,residency period,NOUN_CHUNK,NOUN_CHUNK
students,follow,2-PhD-2 plan,NOUN_CHUNK,NOUN_CHUNK
graduates,make up,just 2.5%,NOUN_CHUNK,PERCENT
MD PhD graduates,practice,clinical medicine,NOUN_CHUNK,NOUN_CHUNK
American Physician Scientists,Association.==,References,NORP,NOUN_CHUNK
Lancet,held,conference,NOUN_CHUNK,NOUN_CHUNK
degree,complement,existing fellowship,NOUN_CHUNK,NOUN_CHUNK
master degree,requires,previous study,NOUN_CHUNK,NOUN_CHUNK
Nineteenth century,saw,great expansion,DATE,NOUN_CHUNK
title,indicates,extended degree,NOUN_CHUNK,NOUN_CHUNK
generically named master programs,include,the Master of Studies,NOUN_CHUNK,ORG
universities,use,Latin degree names,NOUN_CHUNK,LOC
Examples,include,Harvard University,NOUN_CHUNK,ORG
extended master degrees,use,title doctor,NOUN_CHUNK,NOUN_CHUNK
Examples,include,MBA,NOUN_CHUNK,WORK_OF_ART
The United States Department of Education,classifies,master degrees,ORG,NOUN_CHUNK
Research master degrees,require,completion,NOUN_CHUNK,NOUN_CHUNK
The Australian Qualifications Framework,classifies,master degrees,ORG,NOUN_CHUNK
Coursework master degrees,last,one to two years,NOUN_CHUNK,DATE
research,classified as,less than half,NOUN_CHUNK,CARDINAL
MPhil,takes,two calendar years,NOUN_CHUNK,CARDINAL
master degree,take,up to two years,NOUN_CHUNK,DATE
The Framework for Higher Education Qualification,level,7 qualifications,ORG,CARDINAL
Admission,requires,successful completion,NOUN_CHUNK,NOUN_CHUNK
title,requires,master degree,NOUN_CHUNK,NOUN_CHUNK
master degree,takes,two years,NOUN_CHUNK,DATE
title,have,option,NOUN_CHUNK,NOUN_CHUNK
students,obtained,professional degrees,NOUN_CHUNK,NOUN_CHUNK
graduate,choose,master course,NOUN_CHUNK,NOUN_CHUNK
Brazilian universities,offer,MBA program,NOUN_CHUNK,NOUN_CHUNK
The Master's degree,offered as,physical attendance,WORK_OF_ART,NOUN_CHUNK
Spanish government,offers,the Taiwan Scholarship,NOUN_CHUNK,ORG
IR,performs,diagnostic therapeutic procedures,ORG,NOUN_CHUNK
Placement,placed,AV fistulas,NOUN_CHUNK,NOUN_CHUNK
Radiologically,inserted,gastrostomy,PERSON,NOUN_CHUNK
special catheter,Radiofrequency ablation,tissue,NOUN_CHUNK,NOUN_CHUNK
patient,have,notably heart liver functions,NOUN_CHUNK,NOUN_CHUNK
collaboration,optimizes,patient outcome,NOUN_CHUNK,NOUN_CHUNK
TIPS,cause,temporary confusion,NOUN_CHUNK,NOUN_CHUNK
patients,have,infected stone,NOUN_CHUNK,NOUN_CHUNK
Patients,tolerate,procedure,NOUN_CHUNK,NOUN_CHUNK
Current treatment options,include,conservative management,NOUN_CHUNK,NOUN_CHUNK
interventional radiologist,guides,catheter,NOUN_CHUNK,NOUN_CHUNK
interventional radiologist,offer,minimally invasive treatment option,NOUN_CHUNK,NOUN_CHUNK
half,fail,therapy,CARDINAL,NOUN_CHUNK
10%,require,retreatment,PERCENT,NOUN_CHUNK
interventional radiologist,repeated at,RF electrode,NOUN_CHUNK,NOUN_CHUNK
people,reported,improvement,NOUN_CHUNK,NOUN_CHUNK
RFA,treated with,bone,NOUN_CHUNK,NOUN_CHUNK
numerous factors,associated with,patient post - operative course,NOUN_CHUNK,NOUN_CHUNK
Angiography,provides,basis,NOUN_CHUNK,NOUN_CHUNK
body,forms,blood clots,NOUN_CHUNK,NOUN_CHUNK
Arterial diseases,affect,one or multiple layers,NOUN_CHUNK,CARDINAL
capillaries,have,thin single layered walls,NOUN_CHUNK,NOUN_CHUNK
multiple studies,shown,strong correlations,NOUN_CHUNK,NOUN_CHUNK
perfusion,occur,pain,NOUN_CHUNK,NOUN_CHUNK
diagnosis,incurs,higher risk,NOUN_CHUNK,NOUN_CHUNK
Surgical options,include,open thrombectomy,NOUN_CHUNK,NOUN_CHUNK
Chronic mesenteric ischemia,produce,severe pain,NOUN_CHUNK,NOUN_CHUNK
classic symptoms,include,buttock claudication,NOUN_CHUNK,NOUN_CHUNK
amenable endovascular treatments,include,endovascular stenting,NOUN_CHUNK,NOUN_CHUNK
Rupture,have,devastating clinical effects,NOUN_CHUNK,NOUN_CHUNK
Dissections,classified,thoracic aorta,NOUN_CHUNK,NOUN_CHUNK
Type dissections,involve,root,NOUN_CHUNK,NOUN_CHUNK
Carotid artery Dissection,places,patients,NOUN_CHUNK,NOUN_CHUNK
Vertebral Artery Dissection,limit,blood supply,ORG,NOUN_CHUNK
Renal Artery Dissections,decrease,blood flow,ORG,NOUN_CHUNK
related conditions,have,high potential morbidity,NOUN_CHUNK,NOUN_CHUNK
modern Vascular Interventional Radiologists,address,bleeding,NOUN_CHUNK,NOUN_CHUNK
Chronic Kidney Disease,has,numerous recognized causes,NOUN_CHUNK,NOUN_CHUNK
CKD,affects,approximately 14%,ORG,PERCENT
M.,consolidates,application,NOUN_CHUNK,NOUN_CHUNK
M. degree programme,carries,120 credits,PERSON,CARDINAL
The University of Edinburgh,offer,Ch,ORG,NOUN_CHUNK
Maternal fetal medicine specialists training,includes,year residency,NOUN_CHUNK,NOUN_CHUNK
Albert William Liley,developed,course,PERSON,NOUN_CHUNK
mothers,Expecting,consult,NOUN_CHUNK,NOUN_CHUNK
McGill,offers,degrees,PERSON,NOUN_CHUNK
30%,held,position,PERCENT,NOUN_CHUNK
McGill alumni,include,six Academy Award winners,ORG,CARDINAL
notable inventions,include,world artificial cell,NOUN_CHUNK,NOUN_CHUNK
McGill,has,largest endowment,ORG,NOUN_CHUNK
McGill College,received,Charter,ORG,NOUN_CHUNK
The Faculty of Medicine,has,strong links,ORG,NOUN_CHUNK
William Spier,designed,addition,PERSON,NOUN_CHUNK
Alexander Francis Dunlop,designed,major alterations,PERSON,NOUN_CHUNK
The Faculty of Medicine,established,the McLennan Travelling Library,ORG,ORG
The Faculty of Medicine's,called,use,ORG,NOUN_CHUNK
George Allan Ross,designed,the Pathology Building,PERSON,FAC
McGill University,played,significant role,ORG,NOUN_CHUNK
Earl Alexander,laid,cornerstone,PERSON,NOUN_CHUNK
A Book of Remembrance,contains,names,WORK_OF_ART,NOUN_CHUNK
Osler,led,creation,ORG,NOUN_CHUNK
McGill alumni,founded,the McGill School of Architecture,NOUN_CHUNK,ORG
Travel + Leisure,rated,McGill's campus,ORG,ORG
Quebec government,initiated,1.6 billion LEED redevelopment project,NOUN_CHUNK,NOUN_CHUNK
site,comprises,"170,000 square metres",NOUN_CHUNK,QUANTITY
undergraduate medical education program,brings,hundreds of senior members yearly and,NOUN_CHUNK,CARDINAL
the University of Alberta,operates,the McGill Arctic Research Station,ORG,ORG
McGill,owned,parkland,ORG,NOUN_CHUNK
the Faculty of Management,launched,program,ORG,NOUN_CHUNK
University academic units,include,the School of Architecture,NOUN_CHUNK,ORG
Graduate,oversees,admission,NOUN_CHUNK,NOUN_CHUNK
Graduate,administers,graduate fellowships,NOUN_CHUNK,NOUN_CHUNK
The Graduate and Postdoctoral Studies,conducts,regular program reviews,ORG,NOUN_CHUNK
the McGill Executive Institute,provides,business seminars,ORG,NOUN_CHUNK
the University of Alberta,is,guide,ORG,NOUN_CHUNK
McGill,hosts,500 incoming exchange students,PERSON,NOUN_CHUNK
McGill endowment,provides,approximately 10 per cent,NOUN_CHUNK,MONEY
Recent data,shown,graduate acceptance rate,NOUN_CHUNK,NOUN_CHUNK
the Faculty of Engineering,maintains,additional affiliations,ORG,NOUN_CHUNK
McGill undergraduates,have,highest average entering grades,ORG,NOUN_CHUNK
applicants,had,average GMAT score,NOUN_CHUNK,NOUN_CHUNK
MBA students,had,average age,NOUN_CHUNK,NOUN_CHUNK
McGill,offered,340 academic programs,ORG,NOUN_CHUNK
the University of Alberta,offers,250 doctoral master graduate degree programs,ORG,NOUN_CHUNK
McGill,upheld,relatively low appealing student faculty ratio,PERSON,NOUN_CHUNK
McGill,outlines,scholarship considerations,PERSON,NOUN_CHUNK
"candidates.""The university",joined,Project Hero,NOUN_CHUNK,ORG
Francophone students,make up,approximately 20 percent,NOUN_CHUNK,PERCENT
the University of Alberta,has,bilingual language policy,ORG,NOUN_CHUNK
Protesters,saw,English,NOUN_CHUNK,LANGUAGE
majority,opposed,position,NOUN_CHUNK,NOUN_CHUNK
the University of Alberta,held,position,ORG,NOUN_CHUNK
The Globe and Mail's Canadian University Report,categorised,McGill,ORG,PERSON
Research Infosource,ranked,McGill 3rd,ORG,ORG
the Academic Ranking of World Universities,ranked,the University of Alberta 78th,WORK_OF_ART,ORG
Nature,ranked,McGill 63rd,NOUN_CHUNK,PERSON
Quacquarelli Symonds,ranked,McGill MBA 59th,PERSON,ORG
The Financial Times,placed,the MBA programme 91st,ORG,ORG
Research,plays,critical role,NOUN_CHUNK,NOUN_CHUNK
McGill,had,over $547 million,ORG,MONEY
McGill,has,one of the largest patent portfolios among Canadian universities,ORG,CARDINAL
Sir William Osler,made,significant discoveries,NOUN_CHUNK,NOUN_CHUNK
William Chalmers,invented,Plexiglas,PERSON,NOUN_CHUNK
team,developed,digital musical instruments,NOUN_CHUNK,NOUN_CHUNK
Redpath Museum,features,collections,ORG,NOUN_CHUNK
Almost half,claim,language,CARDINAL,NOUN_CHUNK
campus,has,active students society,NOUN_CHUNK,NOUN_CHUNK
PGSS,contains,semi autonomous Association,NOUN_CHUNK,NOUN_CHUNK
humanitarian groups,include,UNICEF,NOUN_CHUNK,ORG
McGill,has,number,ORG,NOUN_CHUNK
The Bull & Bear,publishes,"1,000 copies",ORG,CARDINAL
Macdonald Campus facilities,include,arena,NOUN_CHUNK,NOUN_CHUNK
university,seats,"just over 25,000",NOUN_CHUNK,CARDINAL
McGill University students,wrote,hockey rule book,NOUN_CHUNK,NOUN_CHUNK
McGill alumnus James Naismith,invented,basketball,ORG,NOUN_CHUNK
"Norwegian Herman ""Jackrabbit"" Smith-Johannsen",popularized,cross - country skiing,NORP,NOUN_CHUNK
Notable members,include,McGill alumnus James Naismith,NOUN_CHUNK,ORG
2005 hazing scandal,forced,cancellation,NOUN_CHUNK,NOUN_CHUNK
new,carries,historical links,NOUN_CHUNK,NOUN_CHUNK
McGill,maintains,academic athletic rivalry,ORG,NOUN_CHUNK
Competition,inspired,annual boat race,NOUN_CHUNK,NOUN_CHUNK
school,competes in,soccer tournament,NOUN_CHUNK,NOUN_CHUNK
McGill alumni,played,pivotal roles,ORG,NOUN_CHUNK
recent academic leaders,include,President,NOUN_CHUNK,NOUN_CHUNK
McGill students,include,four Pulitzer Prize winners,ORG,CARDINAL
McGill graduates,received,total,ORG,NOUN_CHUNK
McGill,produced,five astronauts,ORG,CARDINAL
prominent science alumni,include,inventor,NOUN_CHUNK,NOUN_CHUNK
McGill alumni,include,three Prime Ministers,ORG,CARDINAL
NITI Aayog,recommended,replacement,NOUN_CHUNK,NOUN_CHUNK
committee,An ordinance to,The Medical Council of India,NOUN_CHUNK,ORG
National Medical Commission,recommended,replacement,ORG,NOUN_CHUNK
Foreign medical graduates,have,option,NOUN_CHUNK,NOUN_CHUNK
CBI,recovered,1.5 kg,NOUN_CHUNK,QUANTITY
MCI,is,Online,ORG,NOUN_CHUNK
MCI Online,provides,online search,ORG,NOUN_CHUNK
the Board of Governors Governors,taken over,functions,ORG,NOUN_CHUNK
diagnostic procedure,involves,classification tests,NOUN_CHUNK,NOUN_CHUNK
article,uses,diagnostician,NOUN_CHUNK,NOUN_CHUNK
diagnostic procedure,involve,components,NOUN_CHUNK,NOUN_CHUNK
provider,ruled out,hypotheses,NOUN_CHUNK,NOUN_CHUNK
people,experience,at least one diagnostic error,NOUN_CHUNK,CARDINAL
Babylonian medical textbook,introduced,use,NOUN_CHUNK,NOUN_CHUNK
Traditional Chinese Medicine,specified,four diagnostic methods,ORG,CARDINAL
Diagnosis,take,forms,NOUN_CHUNK,NOUN_CHUNK
proper diagnosis,requires,examination,NOUN_CHUNK,NOUN_CHUNK
patients,have,additional diagnoses,NOUN_CHUNK,NOUN_CHUNK
Medical education,applies,theories,NOUN_CHUNK,NOUN_CHUNK
jurisdictions,provide,undergraduate entry programs,NOUN_CHUNK,NOUN_CHUNK
EPA,lists,EPA key feature,NOUN_CHUNK,NOUN_CHUNK
Research areas,include,practical applications,NOUN_CHUNK,NOUN_CHUNK
Students,pursue,years,NOUN_CHUNK,NOUN_CHUNK
health care delivery system,reflects,health care delivery system,NOUN_CHUNK,NOUN_CHUNK
MedEDPORTAL.Journal of Medical Education and Curricular DevelopmentGraduate Medical Education and Continuing Medical Education,focused,journals:.Journal of Continuing Education,CARDINAL,ORG
medical journal,has,varying impact factor,NOUN_CHUNK,NOUN_CHUNK
Medical genetics,encompasses,different areas,NOUN_CHUNK,NOUN_CHUNK
Examples,include,chromosomal rearrangements,NOUN_CHUNK,NOUN_CHUNK
physician,complete,minimum,NOUN_CHUNK,NOUN_CHUNK
Examples,include,galactosemia,NOUN_CHUNK,NOUN_CHUNK
Examples,include,aneuploidy,NOUN_CHUNK,NOUN_CHUNK
Examples,include,achondroplasia,NOUN_CHUNK,NOUN_CHUNK
